Scenario,State,Average Size,NumberCAFOs,OSTARA,MULTIFORM,NURESYS,CRYSTALACTOR,PROC,MAPHEX,% OSTARA installed,% MULTIFORM installed,% NURESYS installed,% CRYSTALACTOR installed,% PROC installed,% MAPHEX installed,Number profitable OSTARA,Number profitable MULTIFORM,Number profitable NURESYS,Number profitable CRYSTALACTOR,Number profitable PROC,Number profitable MAPHEX,Total profitable,% OSTARA Profitable,% MULTIFORM Profitable,% NURESYS Profitable,% CRYSTALACTOR Profitable,% PROC Profitable,% MAPHEX Profitable,% Profitable (total),Number recommended OSTARA,Number recommended MULTIFORM,Number recommended NURESYS,Number recommended CRYSTALACTOR,Number recommended PROC,Number recommended MAPHEX,Total recommended,% OSTARA Recommended,% MULTIFORM Recommended,% NURESYS Recommended,% CRYSTALACTOR Recommended,% PROC Recommended,% MAPHEX Recommended,% Recommended (total)
Indiana_Merged_Results_Pcredits0_REC0_None.csv,Indiana,1574.4117647058824,119,0.0,115.0,0.0,4.0,0.0,0.0,0.0,96.63865546218487,0.0,3.361344537815126,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,75.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indiana_Merged_Results_Pcredits0_REC120,Indiana,1574.4117647058824,119,0.0,108.0,8.0,3.0,0.0,0.0,0.0,90.75630252100841,6.722689075630252,2.5210084033613445,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indiana_Merged_Results_Pcredits0_REC30,Indiana,1574.4117647058824,119,0.0,108.0,7.0,4.0,0.0,0.0,0.0,90.75630252100841,5.88235294117647,3.361344537815126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indiana_Merged_Results_Pcredits0_REC60,Indiana,1574.4117647058824,119,0.0,108.0,7.0,4.0,0.0,0.0,0.0,90.75630252100841,5.88235294117647,3.361344537815126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indiana_Merged_Results_Pcredits0_REC75,Indiana,1574.4117647058824,119,0.0,108.0,7.0,4.0,0.0,0.0,0.0,90.75630252100841,5.88235294117647,3.361344537815126,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indiana_Merged_Results_Pcredits0_REC90,Indiana,1574.4117647058824,119,0.0,108.0,7.0,4.0,0.0,0.0,0.0,90.75630252100841,5.88235294117647,3.361344537815126,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,75.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indiana_Merged_Results_Pcredits11_REC0_None.csv,Indiana,1574.4117647058824,119,0.0,116.0,0.0,3.0,0.0,0.0,0.0,97.47899159663865,0.0,2.5210084033613445,0.0,0.0,0.0,41.0,0.0,3.0,0.0,0.0,44.0,0.0,35.3448275862069,0.0,100.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indiana_Merged_Results_Pcredits11_REC120,Indiana,1574.4117647058824,119,0.0,108.0,7.0,4.0,0.0,0.0,0.0,90.75630252100841,5.88235294117647,3.361344537815126,0.0,0.0,0.0,10.0,7.0,4.0,0.0,0.0,21.0,0.0,9.25925925925926,100.0,100.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indiana_Merged_Results_Pcredits11_REC30,Indiana,1574.4117647058824,119,0.0,108.0,7.0,4.0,0.0,0.0,0.0,90.75630252100841,5.88235294117647,3.361344537815126,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,11.0,0.0,0.0,100.0,100.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indiana_Merged_Results_Pcredits11_REC60,Indiana,1574.4117647058824,119,0.0,108.0,5.0,6.0,0.0,0.0,0.0,90.75630252100841,4.201680672268908,5.042016806722689,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,11.0,0.0,0.0,100.0,100.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
