Scenario,State,Average Size,NumberCAFOs,OSTARA,MULTIFORM,NURESYS,CRYSTALACTOR,PROC,MAPHEX,% OSTARA installed,% MULTIFORM installed,% NURESYS installed,% CRYSTALACTOR installed,% PROC installed,% MAPHEX installed,Number profitable OSTARA,Number profitable MULTIFORM,Number profitable NURESYS,Number profitable CRYSTALACTOR,Number profitable PROC,Number profitable MAPHEX,Total profitable,% OSTARA Profitable,% MULTIFORM Profitable,% NURESYS Profitable,% CRYSTALACTOR Profitable,% PROC Profitable,% MAPHEX Profitable,% Profitable (total),Number recommended OSTARA,Number recommended MULTIFORM,Number recommended NURESYS,Number recommended CRYSTALACTOR,Number recommended PROC,Number recommended MAPHEX,Total recommended,% OSTARA Recommended,% MULTIFORM Recommended,% NURESYS Recommended,% CRYSTALACTOR Recommended,% PROC Recommended,% MAPHEX Recommended,% Recommended (total)
Indiana_Merged_Results_Pcredits0_REC0_None.csv,Indiana,1574.4117647058824,119,0.0,115.0,0.0,4.0,0.0,0.0,0.0,96.63865546218487,0.0,3.361344537815126,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,75.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indiana_Merged_Results_Pcredits0_REC120,Indiana,1574.4117647058824,119,0.0,108.0,8.0,3.0,0.0,0.0,0.0,90.75630252100841,6.722689075630252,2.5210084033613445,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indiana_Merged_Results_Pcredits0_REC30,Indiana,1574.4117647058824,119,0.0,108.0,7.0,4.0,0.0,0.0,0.0,90.75630252100841,5.88235294117647,3.361344537815126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indiana_Merged_Results_Pcredits0_REC60,Indiana,1574.4117647058824,119,0.0,108.0,7.0,4.0,0.0,0.0,0.0,90.75630252100841,5.88235294117647,3.361344537815126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indiana_Merged_Results_Pcredits0_REC75,Indiana,1574.4117647058824,119,0.0,108.0,7.0,4.0,0.0,0.0,0.0,90.75630252100841,5.88235294117647,3.361344537815126,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indiana_Merged_Results_Pcredits0_REC90,Indiana,1574.4117647058824,119,0.0,108.0,7.0,4.0,0.0,0.0,0.0,90.75630252100841,5.88235294117647,3.361344537815126,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,75.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michigan_Merged_Results_Pcredits0_REC0_None.csv,Michigan,2461.527777777778,144,0.0,126.0,17.0,1.0,0.0,0.0,0.0,87.5,11.805555555555555,0.6944444444444444,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michigan_Merged_Results_Pcredits0_REC120,Michigan,2461.527777777778,144,0.0,113.0,30.0,1.0,0.0,0.0,0.0,78.47222222222221,20.833333333333336,0.6944444444444444,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michigan_Merged_Results_Pcredits0_REC30,Michigan,2461.527777777778,144,0.0,113.0,29.0,2.0,0.0,0.0,0.0,78.47222222222221,20.13888888888889,1.3888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michigan_Merged_Results_Pcredits0_REC60,Michigan,2461.527777777778,144,0.0,113.0,28.0,3.0,0.0,0.0,0.0,78.47222222222221,19.444444444444446,2.083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
