Scenario,State,Average Size,NumberCAFOs,OSTARA,MULTIFORM,NURESYS,CRYSTALACTOR,PROC,MAPHEX,% OSTARA installed,% MULTIFORM installed,% NURESYS installed,% CRYSTALACTOR installed,% PROC installed,% MAPHEX installed,Number profitable OSTARA,Number profitable MULTIFORM,Number profitable NURESYS,Number profitable CRYSTALACTOR,Number profitable PROC,Number profitable MAPHEX,Total profitable,% OSTARA Profitable,% MULTIFORM Profitable,% NURESYS Profitable,% CRYSTALACTOR Profitable,% PROC Profitable,% MAPHEX Profitable,% Profitable (total),Number recommended OSTARA,Number recommended MULTIFORM,Number recommended NURESYS,Number recommended CRYSTALACTOR,Number recommended PROC,Number recommended MAPHEX,Total recommended,% OSTARA Recommended,% MULTIFORM Recommended,% NURESYS Recommended,% CRYSTALACTOR Recommended,% PROC Recommended,% MAPHEX Recommended,% Recommended (total)
Indiana_Merged_Results_Pcredits0_REC0_None.csv,Indiana,1574.4117647058824,119,0.0,115.0,0.0,4.0,0.0,0.0,0.0,96.63865546218487,0.0,3.361344537815126,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,75.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indiana_Merged_Results_Pcredits11_REC0_None.csv,Indiana,1574.4117647058824,119,0.0,116.0,0.0,3.0,0.0,0.0,0.0,97.47899159663865,0.0,2.5210084033613445,0.0,0.0,0.0,41.0,0.0,3.0,0.0,0.0,44.0,0.0,35.3448275862069,0.0,100.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indiana_Merged_Results_Pcredits1_REC0_None.csv,Indiana,1574.4117647058824,119,0.0,115.0,0.0,4.0,0.0,0.0,0.0,96.63865546218487,0.0,3.361344537815126,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indiana_Merged_Results_Pcredits22_REC0_None.csv,Indiana,1574.4117647058824,119,0.0,115.0,0.0,4.0,0.0,0.0,0.0,96.63865546218487,0.0,3.361344537815126,0.0,0.0,0.0,93.0,0.0,4.0,0.0,0.0,97.0,0.0,80.8695652173913,0.0,100.0,0.0,0.0,82.0,0.0,1.0,0.0,4.0,0.0,0.0,5.0,0.0,0.8695652173913043,0.0,100.0,0.0,0.0,4.0
Indiana_Merged_Results_Pcredits3_REC0_None.csv,Indiana,1574.4117647058824,119,0.0,115.0,0.0,4.0,0.0,0.0,0.0,96.63865546218487,0.0,3.361344537815126,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indiana_Merged_Results_Pcredits5_REC0_None.csv,Indiana,1574.4117647058824,119,0.0,115.0,0.0,4.0,0.0,0.0,0.0,96.63865546218487,0.0,3.361344537815126,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michigan_Merged_Results_Pcredits0_REC0_None.csv,Michigan,2461.527777777778,144,0.0,126.0,17.0,1.0,0.0,0.0,0.0,87.5,11.805555555555555,0.6944444444444444,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michigan_Merged_Results_Pcredits11_REC0_None.csv,Michigan,2461.527777777778,144,0.0,126.0,17.0,1.0,0.0,0.0,0.0,87.5,11.805555555555555,0.6944444444444444,0.0,0.0,0.0,99.0,17.0,1.0,0.0,0.0,117.0,0.0,78.57142857142857,100.0,100.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michigan_Merged_Results_Pcredits1_REC0_None.csv,Michigan,2461.527777777778,144,0.0,125.0,18.0,1.0,0.0,0.0,0.0,86.80555555555556,12.5,0.6944444444444444,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michigan_Merged_Results_Pcredits22_REC0_None.csv,Michigan,2461.527777777778,144,0.0,128.0,15.0,1.0,0.0,0.0,0.0,88.88888888888889,10.416666666666668,0.6944444444444444,0.0,0.0,0.0,125.0,15.0,1.0,0.0,0.0,141.0,0.0,97.65625,100.0,100.0,0.0,0.0,98.0,0.0,0.0,13.0,1.0,0.0,0.0,14.0,0.0,0.0,86.66666666666667,100.0,0.0,0.0,10.0
Michigan_Merged_Results_Pcredits3_REC0_None.csv,Michigan,2461.527777777778,144,0.0,125.0,17.0,2.0,0.0,0.0,0.0,86.80555555555556,11.805555555555555,1.3888888888888888,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,11.0,0.0,0.0,52.94117647058824,100.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michigan_Merged_Results_Pcredits5_REC0_None.csv,Michigan,2461.527777777778,144,0.0,126.0,17.0,1.0,0.0,0.0,0.0,87.5,11.805555555555555,0.6944444444444444,0.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,18.0,0.0,0.0,100.0,100.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minnesota_Merged_Results_Pcredits0_REC0_None.csv,Minnesota,634.2257565568258,1487,0.0,1476.0,0.0,11.0,0.0,0.0,0.0,99.26025554808339,0.0,0.7397444519166106,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minnesota_Merged_Results_Pcredits11_REC0_None.csv,Minnesota,634.2257565568258,1487,0.0,1476.0,0.0,11.0,0.0,0.0,0.0,99.26025554808339,0.0,0.7397444519166106,0.0,0.0,0.0,7.0,0.0,11.0,0.0,0.0,18.0,0.0,0.47425474254742545,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minnesota_Merged_Results_Pcredits1_REC0_None.csv,Minnesota,634.2257565568258,1487,0.0,1476.0,0.0,11.0,0.0,0.0,0.0,99.26025554808339,0.0,0.7397444519166106,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minnesota_Merged_Results_Pcredits22_REC0_None.csv,Minnesota,634.2257565568258,1487,0.0,1477.0,0.0,10.0,0.0,0.0,0.0,99.32750504371216,0.0,0.6724949562878278,0.0,0.0,0.0,855.0,0.0,10.0,0.0,0.0,865.0,0.0,57.88761002031144,0.0,100.0,0.0,0.0,58.0,0.0,1.0,0.0,10.0,0.0,0.0,11.0,0.0,0.06770480704129993,0.0,100.0,0.0,0.0,1.0
Minnesota_Merged_Results_Pcredits3_REC0_None.csv,Minnesota,634.2257565568258,1487,0.0,1476.0,0.0,11.0,0.0,0.0,0.0,99.26025554808339,0.0,0.7397444519166106,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minnesota_Merged_Results_Pcredits5_REC0_None.csv,Minnesota,634.2257565568258,1487,0.0,1476.0,0.0,11.0,0.0,0.0,0.0,99.26025554808339,0.0,0.7397444519166106,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ohio_Merged_Results_Pcredits0_REC0_None.csv,Ohio,2415.245283018868,53,0.0,50.0,1.0,2.0,0.0,0.0,0.0,94.33962264150944,1.8867924528301887,3.7735849056603774,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,100.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ohio_Merged_Results_Pcredits11_REC0_None.csv,Ohio,2415.245283018868,53,0.0,50.0,1.0,2.0,0.0,0.0,0.0,94.33962264150944,1.8867924528301887,3.7735849056603774,0.0,0.0,0.0,41.0,1.0,2.0,0.0,0.0,44.0,0.0,82.0,100.0,100.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ohio_Merged_Results_Pcredits1_REC0_None.csv,Ohio,2415.245283018868,53,0.0,50.0,1.0,2.0,0.0,0.0,0.0,94.33962264150944,1.8867924528301887,3.7735849056603774,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,100.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ohio_Merged_Results_Pcredits22_REC0_None.csv,Ohio,2415.245283018868,53,0.0,50.0,1.0,2.0,0.0,0.0,0.0,94.33962264150944,1.8867924528301887,3.7735849056603774,0.0,0.0,0.0,50.0,1.0,2.0,0.0,0.0,53.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,100.0,100.0,0.0,0.0,6.0
Ohio_Merged_Results_Pcredits3_REC0_None.csv,Ohio,2415.245283018868,53,0.0,50.0,1.0,2.0,0.0,0.0,0.0,94.33962264150944,1.8867924528301887,3.7735849056603774,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,100.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ohio_Merged_Results_Pcredits5_REC0_None.csv,Ohio,2415.245283018868,53,0.0,51.0,1.0,1.0,0.0,0.0,0.0,96.22641509433963,1.8867924528301887,1.8867924528301887,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,100.0,100.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pennsylvania_Merged_Results_Pcredits11_REC0_None.csv,Pennsylvania,1445.7161764705882,136,0.0,129.0,6.0,1.0,0.0,0.0,0.0,94.85294117647058,4.411764705882353,0.7352941176470588,0.0,0.0,0.0,54.0,6.0,1.0,0.0,0.0,61.0,0.0,41.86046511627907,100.0,100.0,0.0,0.0,45.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,16.666666666666664,100.0,0.0,0.0,1.0
Pennsylvania_Merged_Results_Pcredits1_REC0_None.csv,Pennsylvania,1445.7161764705882,136,0.0,129.0,6.0,1.0,0.0,0.0,0.0,94.85294117647058,4.411764705882353,0.7352941176470588,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
